 -82 [da:11:1c:d7:12:dc]
RSSI: -81 [da:0b:7e:e1:0f:2a]
RSSI: -81 [da:11:23:9e:11:fc]
RSSI: -82 [da:11:23:ab:12:1c]
RSSI: -81 [da:0b:7e:ed:0f:4a]
RSSI: -81 [da:0b:7e:ed:0f:4a]
RSSI: -79 [da:0b:7e:fc:0f:7a]
RSSI: -76 [da:0b:7f:0b:0f:aa]
RSSI: -82 [da:11:23:c5:12:6c]
RSSI: -76 [da:0b:7f:0b:0f:aa]
RSSI: -82 [da:11:23:d2:12:9c]
RSSI: -79 [da:0b:7f:17:0f:ca]
RSSI: -85 [da:11:23:d2:12:9c]
RSSI: -76 [da:0b:7f:17:0f:ca]
RSSI: -83 [da:11:23:df:12:cc]
RSSI: -82 [da:0b:7f:26:0f:ea]
RSSI: -80 [da:0b:7f:26:0f:ea]
RSSI: -85 [da:11:23:eb:12:ec]
RSSI: -85 [da:0b:7f:35:10:1a]
RSSI: -84 [da:11:23:f9:13:1c]
RSSI: -86 [da:11:23:f9:13:1c]
RSSI: -86 [da:11:23:f9:13:1c]
RSSI: -95 [da:09:9b:52:12:eb]
RSSI: -82 [da:0b:7f:41:10:3a]
RSSI: -87 [da:11:24:05:13:3c]
RSSI: -88 [da:0b:7f:50:10:6a]
RSSI: -88 [da:0b:7f:50:10:6a]
RSSI: -88 [da:11:24:12:13:6c]
RSSI: -94 [da:09:9b:5e:13:0b]
RSSI: -92 [da:0b:7f:5f:10:8a]
RSSI: -94 [da:11:24:1f:13:8c]
RSSI: -87 [da:0b:7f:5f:10:8a]
RSSI: -81 [da:0b:7f:6b:10:ba]
RSSI: -91 [da:0b:7f:6b:10:ba]
RSSI: -82 [da:0b:7f:7a:10:da]
RSSI: -91 [da:09:9b:8a:13:8b]
RSSI: -98 [da:0e:88:9c:0b:fe]
RSSI: -89 [da:0b:7f:89:11:0a]
RSSI: -90 [da:09:9b:9a:13:bb]
RSSI: -92 [da:0b:7f:95:11:2a]
RSSI: -95 [da:11:24:5f:14:5c]
RSSI: -96 [da:0b:7f:a4:11:5a]
RSSI: -90 [da:11:24:6c:14:8c]
RSSI: -93 [da:0b:7f:b3:11:7a]
RSSI: -95 [da:0e:88:d6:0c:9e]
RSSI: -96 [da:09:9b:c6:14:3b]
RSSI: -98 [da:11:24:79:14:ac]
RSSI: -87 [da:09:9b:d5:14:5b]
RSSI: -95 [da:0e:88:e5:0c:ce]
RSSI: -92 [da:11:24:93:14:fc]
RSSI: -92 [da:0e:88:RSSI: -95 [da:0b:c1:0c:01:5a]
RSSI: -94 [da:0b:c1:36:01:da]
RSSI: -93 [da:0b:c1:89:02:ba]
RSSI: -89 [da:11:66:72:06:2c]
RSSI: -90 [da:11:66:72:06:2c]
RSSI: -93 [da:0b:c1:d0:03:7a]
RSSI: -88 [da:11:66:98:06:ac]
RSSI: -89 [da:11:66:be:07:1c]
RSSI: -95 [da:0b:c2:06:04:1a]
RSSI: -90 [da:11:66:be:07:1c]
RSSI: -87 [da:11:66:cb:07:4c]
RSSI: -91 [da:0b:c2:24:04:6a]
RSSI: -90 [da:11:66:f1:07:cc]
RSSI: -87 [da:0b:c2:3f:04:ba]
RSSI: -87 [da:0b:c2:3f:04:ba]
RSSI: -94 [da:0b:c2:5a:05:0a]
RSSI: -88 [da:11:67:65:09:3c]
RSSI: -92 [da:0b:c2:bc:06:1a]
RSSI: -88 [da:0b:c2:d7:06:6a]
RSSI: -85 [da:0b:c3:01:06:da]
RSSI: -86 [da:0b:c3:10:07:0a]
RSSI: -92 [da:0b:c3:48:07:aa]
RSSI: -89 [da:0b:c3:72:08:1a]
RSSI: -89 [da:0b:c3:8d:08:6a]
RSSI: -85 [da:0b:c3:9c:08:8a]
RSSI: -83 [da:0b:c3:a9:08:ba]
RSSI: -83 [da:0b:c3:a9:08:ba]
RSSI: -85 [da:0b:c3:b7:08:da]
RSSI: -85 [da:0b:c3:d3:09:2a]
RSSI: -87 [da:0b:c3:f0:09:7a]
RSSI: -84 [da:0b:c3:f0:09:7a]
RSSI: -85 [da:0b:c3:fd:09:aa]
RSSI: -78 [da:0b:c4:0b:09:ca]
RSSI: -79 [da:0b:c4:1a:09:fa]
RSSI: -80 [da:0b:c4:26:0a:1a]
RSSI: -77 [da:0b:c4:26:0a:1a]
RSSI: -78 [da:0b:c4:35:0a:3a]
RSSI: -77 [da:0b:c4:44:0a:6a]
RSSI: -73 [da:0b:c4:44:0a:6a]
RSSI: -76 [da:0b:c4:50:0a:8a]
RSSI: -77 [da:0b:c4:5f:0a:ba]
RSSI: -93 [da:09:e0:6e:12:ab]
RSSI: -76 [da:0b:c4:5f:0a:ba]
RSSI: -74 [da:0b:c4:6e:0a:da]
RSSI: -78 [da:0b:c4:6e:0a:da]
RSSI: -77 [da:0b:c4:7a:0b:0a]
RSSI: -74 [da:0b:c4:7a:0b:0a]
RSSI: -76 [da:0b:c4:89:0b:2a]
RSSI: -75 [da:0b:c4:89:0b:2a]
RSSI: -73 [da:0b:c4:98:0b:5a]
RSSI: -68 [da:0b:c4:a4:0b:7a]
RSSI: -68 [da:0b:c4:b3:0b:aa]
RSSI: -65 [da:0b:c4:b3:0b:aa]
RSSI: -67 [da:0b:c4:c2:0b:ca]
RSSI: -65 [da:0b:c4:c2:0b:ca]
RSSI: -65 [da:0b:c4:ce:0b:ea]
RSSI: -60 [da:0b:c4:dd:0c:1a]
RSSI: -61 [da:0b:c4:ec:0c:4a]
RSSI: -87 [da:11:69:a6:10:7c]
RSSI: -88 [da:09:e0:f2:14:3b]
RSSI: -61 [da:0b:c4:ec:0c:4a]
RSSI: -61 [da:0b:c4:f8:0c:6a]
RSSI: -86 [da:11:69:b3:10:9c]
RSSI: -59 [da:0b:c4:f8:0c:6a]
RSSI: -85 [da:11:69:c0:10:cc]
RSSI: -58 [da:0b:c5:07:0c:8a]
RSSI: -60 [da:0b:c5:07:0c:8a]
RSSI: -57 [da:0b:c5:16:0c:ba]
RSSI: -82 [da:11:69:da:11:1c]
RSSI: -85 [da:09:e1:2d:14:db]
RSSI: -59 [da:0b:c5:23:0c:da]
RSSI: -81 [da:11:69:da:11:1c]
RSSI: -87 [da:09:e1:2d:14:db]
RSSI: -58 [da:0b:c5:23:0c:da]
RSSI: -82 [da:11:69:e6:11:4c]
RSSI: -86 [da:09:e1:3d:15:0b]
RSSI: -60 [da:0b:c5:31:0d:0a]
RSSI: -81 [da:09:e1:3d:15:0b]
RSSI: -58 [da:0b:c5:31:0d:0a]
RSSI: -80 [da:11:69:f4:11:6c]
RSSI: -83 [da:09:e1:4a:15:2b]
RSSI: -80 [da:11:6a:00:11:9c]
RSSI: -81 [da:11:6a:00:11:9c]
RSSI: -58 [da:0b:c5:4d:0d:5a]
RSSI: -80 [da:09:e1:59:15:5b]
RSSI: -56 [da:0b:c5:4d:0d:5a]
RSSI: -80 [da:09:e1:59:15:5b]
RSSI: -78 [da:11:6a:0d:11:bc]
RSSI: -81 [da:09:e1:69:15:8b]
RSSI: -59 [da:0b:c5:5b:0d:7a]
RSSI: -81 [da:09:e1:69:15:8b]
RSSI: -58 [da:0b:c5:5b:0d:7a]
