 -82 [da:11:1c:d7:12:dc]
RSSI: -90 [da:0a:b8:f5:00:bb]
RSSI: -92 [da:0a:b8:f5:00:bb]
RSSI: -76 [da:12:41:a0:07:9c]
RSSI: -80 [da:12:41:ae:07:cc]
RSSI: -90 [da:0c:9c:f6:15:6a]
RSSI: -88 [da:0a:b9:05:00:eb]
RSSI: -80 [da:12:41:ae:07:cc]
RSSI: -77 [da:12:41:ba:07:ec]
RSSI: -78 [da:12:41:ba:07:ec]
RSSI: -87 [da:0c:9d:14:15:ba]
RSSI: -81 [da:12:41:c8:08:1c]
RSSI: -77 [da:12:41:c8:08:1c]
RSSI: -86 [da:0c:9d:21:15:ea]
RSSI: -77 [da:12:41:d5:08:4c]
RSSI: -87 [da:0a:b9:32:01:6b]
RSSI: -84 [da:12:41:d5:08:4c]
RSSI: -88 [da:0a:b9:32:01:6b]
RSSI: -77 [da:12:41:e2:08:6c]
RSSI: -89 [da:0c:9d:30:16:0a]
RSSI: -76 [da:12:41:e2:08:6c]
RSSI: -87 [da:0c:9d:30:16:0a]
RSSI: -87 [da:0a:b9:4e:01:bb]
RSSI: -83 [da:0a:b9:4e:01:bb]
RSSI: -75 [da:12:41:fd:08:cc]
RSSI: -87 [da:0a:b9:5e:01:eb]
RSSI: -78 [da:12:42:0a:08:ec]
RSSI: -90 [da:0c:9d:5b:00:4a]
RSSI: -74 [da:12:42:0a:08:ec]
RSSI: -89 [da:0a:b9:6b:02:0b]
RSSI: -89 [da:0a:b9:6b:02:0b]
RSSI: -78 [da:12:42:17:09:1c]
RSSI: -88 [da:0c:9d:6a:00:7a]
RSSI: -81 [da:0a:b9:7b:02:3b]
RSSI: -89 [da:12:42:25:09:4c]
RSSI: -88 [da:0a:b9:7b:02:3b]
RSSI: -76 [da:12:42:31:09:6c]
RSSI: -87 [da:0c:9d:86:00:ca]
RSSI: -88 [da:0f:a6:a3:08:ae]
RSSI: -76 [da:12:42:3f:09:9c]
RSSI: -90 [da:0c:9d:95:00:fa]
RSSI: -76 [da:12:42:4d:09:bc]
RSSI: -85 [da:0a:b9:a8:02:bb]
RSSI: -86 [da:0a:b9:a8:02:bb]
RSSI: -91 [da:0c:9d:a2:01:1a]
RSSI: -72 [da:12:42:67:0a:1c]
RSSI: -83 [da:0a:b9:c4:03:0b]
RSSI: -74 [da:12:42:74:0a:3c]
RSSI: -72 [da:12:42:74:0a:3c]
RSSI: -86 [da:0a:b9:d4:03:3b]
RSSI: -70 [da:12:42:81:0a:6c]
RSSI: -88 [da:0a:b9:e4:03:6b]
RSSI: -75 [da:12:42:81:0a:6c]
RSSI: -88 [da:0a:b9:e4:03:6b]
RSSI: -85 [da:0a:b9:e4:03:6b]
RSSI: -72 [da:12:42:8e:0a:9c]
RSSI: -86 [da:0a:b9:e4:03:6b]
RSSI: -70 [da:12:42:8e:0a:9c]
RSSI: -75 [da:12:42:9c:0a:bc]
RSSI: -72 [da:12:42:b6:0b:1c]
RSSI: -87 [da:0a:ba:11:03:eb]
RSSI: -73 [da:12:42:b6:0b:1c]
RSSI: -73 [da:12:42:c4:0b:3c]
RSSI: -93 [da:0f:a7:26:0a:2e]
RSSI: -91 [da:0a:ba:2e:04:4b]
RSSI: -72 [da:12:42:de:0b:9c]
RSSI: -77 [da:12:42:eb:0b:bc]
RSSI: -88 [da:0f:a7:52:0a:ae]
RSSI: -75 [da:12:42:eb:0b:bc]
RSSI: -86 [da:0f:a7:62:0a:ce]
RSSI: -78 [da:12:42:f8:0b:ec]
RSSI: -75 [da:12:43:06:0c:1c]
RSSI: -84 [da:0f:a7:7e:0b:2e]
RSSI: -77 [da:12:43:13:0c:3c]
RSSI: -83 [da:0f:a7:7e:0b:2e]
RSSI: -78 [da:12:43:20:0c:6c]
RSSI: -83 [da:0f:a7:8d:0b:4e]
RSSI: -79 [da:12:43:20:0c:6c]
RSSI: -83 [da:0f:a7:8d:0b:4e]
RSSI: -74 [da:12:43:2d:0c:9c]
RSSI: -80 [da:12:43:2d:0c:9c]
RSSI: -82 [da:0f:a7:9a:0b:7e]
RSSI: -80 [da:12:43:3b:0c:bc]
RSSI: -83 [da:0f:a7:aa:0b:ae]
RSSI: -84 [da:0f:a7:aa:0b:ae]
RSSI: -89 [da:0c:9e:97:03:ca]
RSSI: -86 [da:12:43:48:0c:ec]
RSSI: -86 [da:0c:9e:a4:03:ea]
RSSI: -80 [da:0f:a7:c6:0b:fe]
RSSI: -85 [da:12:43:55:0d:1c]
RSSI: -97 [da:0a:ba:b4:05:cb]
RSSI: -89 [da:12:43:63:0d:3c]
RSSI: -87 [da:0c:9e:b3:04:1a]
RSSI: -79 [da:0f:a7:d6:0c:1e]
RSSI: -86 [da:12:43:6f:0d:6c]
RSSI: -79 [da:0f:a7:d6:0c:1e]
RSSI: -81 [da:12:43:6f:0d:6c]
RSSI: -81 [da:0f:a7:e5:0c:4e]
RSSI: -90 [da:12:43:7d:0d:9c]
RSSI: -81 [da:0f:a7:f2:0c:7e]
RSSI: -82 [da:0f:a7:f2:0c:7e]
RSSI: -79 [da:12:43:8b:0d:bc]
RSSI: -85 [da:12:43:97:0d:ec]
RSSI: -79 [da:0f:a8:01:0c:9e]
RSSI: -80 [da:0f:a8:01:0c:9e]
RSSI: -89 [da:12:43:97:0d:ec]
RSSI: -81 [da:0f:a8:01:0c:9e]
RSSI: -89 [da:0c:9e:ed:04:ba]
RSSI: -79 [da:0f:a8:11:0c:ce]
RSSI: -85 [da:0c:9e:fa:04:da]
RSSI: -78 [da:12:43:b2:0e:3c]
RSSI: -83 [da:0c:9f:09:05:0a]
RSSI: -82 [da:0c:9f:09:05:0a]
RSSI: -79 [da:12:43:bf:0e:6c]
RSSI: -81 [da:0f:a8:2d:0d:2e]
RSSI: -83 [da:0c:9f:18:05:3a]
RSSI: -81 [da:0f:a8:2d:0d:2e]
RSSI: -81 [da:12:43:cd:0e:9c]
RSSI: -76 [da:12:43:cd:0e:9c]
RSSI: -82 [da:0f:a8:3d:0d:5e]
RSSI: -82 [da:0c:9f:25:05:5a]
RSSI: -75 [da:12:43:da:0e:bc]
RSSI: -81 [da:0f:a8:4a:0d:7e]
RSSI: -82 [da:0f:a8:4a:0d:7e]
RSSI: -86 [da:0f:a8:59:0d:ae]
RSSI: -77 [da:0c:9f:43:05:aa]
RSSI: -82 [da:12:43:f5:0f:1c]
RSSI: -82 [da:0f:a8:59:0d:ae]
RSSI: -78 [da:0c:9f:43:05:aa]
RSSI: -77 [da:12:44:02:0f:3c]
RSSI: -87 [da:0f:a8:69:0d:de]
RSSI: -78 [da:0c:9f:50:05:da]
RSSI: -77 [da:0c:9f:50:05:da]
RSSI: -80 [da:12:44:02:0f:3c]
RSSI: -77 [da:0c:9f:50:05:da]
RSSI: -78 [da:12:44:0f:0f:6c]
RSSI: -78 [da:0c:9f:5f:05:fa]
RSSI: -88 [da:0f:a8:85:0e:2e]
RSSI: -77 [da:12:44:1c:0f:9c]
RSSI: -88 [da:0f:a8:85:0e:2e]
RSSI: -90 [da:0f:a8:85:0e:2e]
RSSI: -76 [da:0c:9f:6e:06:2a]
RSSI: -91 [da:0f:a8:85:0e:2e]
RSSI: -89 [da:0f:a8:95:0e:5e]
RSSI: -75 [da:12:44:2a:0f:bc]
RSSI: -75 [da:0c:9f:7b:06:4a]
RSSI: -75 [da:0c:9f:7b:06:4a]
RSSI: -74 [da:12:44:37:0f:ec]
RSSI: -75 [da:12:44:37:0f:ec]
RSSI: -74 [da:0c:9f:8a:06:7a]
RSSI: -75 [da:12:44:44:10:1c]
RSSI: -75 [da:12:44:44:10:1c]
RSSI: -75 [da:0c:9f:99:06:aa]
RSSI: -76 [da:0c:9f:99:06:aa]
RSSI: -77 [da:12:44:52:10:3c]
RSSI: -93 [da:0a:bb:b1:08:bb]
RSSI: -75 [da:0c:9f:a6:06:ca]
RSSI: -75 [da:12:44:5f:10:6c]
RSSI: -74 [da:0c:9f:b5:06:fa]
RSSI: -74 [da:0c:9f:b5:06:fa]
RSSI: -81 [da:12:44:6c:10:9c]
RSSI: -74 [da:0c:9f:b5:06:fa]
RSSI: -75 [da:0c:9f:c5:07:1a]
RSSI: -85 [da:12:44:7a:10:bc]
RSSI: -74 [da:0c:9f:c5:07:1a]
RSSI: -83 [da:12:44:7a:10:bc]
RSSI: -88 [da:12:44:86:10:ec]
RSSI: -75 [da:0c:9f:d1:07:4a]
RSSI: -86 [da:12:44:86:10:ec]
RSSI: -75 [da:12:44:86:10:ec]
RSSI: -73 [da:12:44:94:11:0c]
RSSI: -74 [da:0c:9f:e1:07:6a]
RSSI: -72 [da:12:44:94:11:0c]
RSSI: -71 [da:12:44:a2:11:3c]
RSSI: -75 [da:0c:9f:f0:07:9a]
RSSI: -68 [da:12:44:a2:11:3c]
RSSI: -95 [da:0a:bb:fe:09:9b]
RSSI: -67 [da:12:44:ae:11:6c]
RSSI: -75 [da:0c:9f:fc:07:ba]
RSSI: -67 [da:12:44:ae:11:6c]
RSSI: -74 [da:0c:9f:fc:07:ba]
RSSI: -65 [da:12:44:ca:11:bc]
RSSI: -63 [da:12:44:d6:11:ec]
RSSI: -76 [da:0c:a0:28:08:3a]
RSSI: -78 [da:0c:a0:28:08:3a]
RSSI: -60 [da:12:44:e4:12:0c]
RSSI: -60 [da:12:44:e4:12:0c]
RSSI: -78 [da:0c:a0:37:08:6a]
RSSI: -62 [da:12:44:f2:12:3c]
RSSI: -91 [da:0a:bc:48:0a:7b]
RSSI: -60 [da:12:44:f2:12:3c]
RSSI: -81 [da:0c:a0:46:08:8a]
RSSI: -62 [da:12:44:fe:12:5c]
RSSI: -59 [da:12:45:0c:12:8c]
RSSI: -87 [da:0c:a0:62:08:da]
RSSI: -87 [da:0c:a0:62:08:da]
RSSI: -60 [da:12:45:1a:12:bc]
RSSI: -88 [da:0c:a0:62:08:da]
RSSI: -85 [da:0c:a0:71:09:0a]
RSSI: -86 [da:0c:a0:71:09:0a]
RSSI: -60 [da:12:45:26:12:dc]
RSSI: -82 [da:0c:a0:7e:09:2a]
RSSI: -62 [da:12:45:34:13:0c]
RSSI: -88 [da:0c:a0:8d:09:5a]
RSSI: -89 [da:0a:bc:9a:0b:6b]
RSSI: -63 [da:12:45:4e:13:5c]
RSSI: -82 [da:0c:a0:9d:09:7a]
RSSI: -61 [da:12:45:4e:13:5c]
RSSI: -63 [da:12:45:5c:13:8c]
RSSI: -81 [da:0c:a0:a9:09:aa]
RSSI: -65 [da:12:45:5c:13:8c]
RSSI: -81 [da:0c:a0:a9:09:aa]
RSSI: -64 [da:12:45:6a:13:bc]
RSSI: -66 [da:12:45:6a:13:bc]
RSSI: -68 [da:12:45:76:13:dc]
RSSI: -85 [da:0c:a0:c8:09:fa]
RSSI: -67 [da:12:45:76:13:dc]
RSSI: -91 [da:0f:a9:f5:12:5e]
RSSI: -73 [da:12:45:84:14:0c]
RSSI: -86 [da:0c:a0:d5:0a:1a]
RSSI: -86 [da:0c:a0:e4:0a:4a]
RSSI: -85 [da:0c:a0:f3:0a:7a]
RSSI: -85 [da:12:45:9e:14:5c]
RSSI: -84 [da:0c:a0:f3:0a:7a]
RSSI: -79 [da:12:45:ac:14:8c]
RSSI: -78 [da:12:45:ac:14:8c]
RSSI: -74 [da:12:45:ac:14:8c]
RSSI: -84 [da:0c:a1:00:0a:9a]
RSSI: -70 [da:12:45:ba:14:ac]
RSSI: -85 [da:0c:a1:0f:0a:ca]
RSSI: -95 [da:0f:aa:2e:12:fe]
RSSI: -85 [da:0c:a1:0f:0a:ca]
RSSI: -71 [da:12:45:c6:14:dc]
RSSI: -86 [da:0c:a1:0f:0a:ca]
RSSI: -86 [da:0c:a1:1f:0a:ea]
RSSI: -70 [da:12:45:e2:15:2c]
RSSI: -73 [da:12:45:ee:15:5c]
RSSI: -74 [da:12:45:ee:15:5c]
RSSI: -76 [da:12:45:fc:15:8c]
RSSI: -78 [da:12:45:fc:15:8c]
RSSI: -75 [da:12:46:0a:15:ac]
RSSI: -81 [da:12:46:0a:15:ac]
RSSI: -80 [da:12:46:17:15:dc]
RSSI: -91 [da:0c:a1:66:0b:ba]
RSSI: -73 [da:12:46:17:15:dc]
RSSI: -80 [da:12:46:24:16:0c]
RSSI: -78 [da:12:46:32:16:2c]
RSSI: -74 [da:12:46:3f:16:5c]
RSSI: -77 [da:12:46:4c:00:0c]
RSSI: -79 [da:12:46:5a:00:2c]
RSSI: -77 [da:12:46:5a:00:2c]
RSSI: -78 [da:12:46:67:00:2c]
RSSI: -78 [da:12:46:67:00:2c]
RSSI: -76 [da:12:46:75:00:5c]
RSSI: -78 [da:12:46:75:00:5c]
RSSI: -76 [da:12:46:82:00:7c]
RSSI: -76 [da:12:46:82:00:7c]
RSSI: -78 [da:12:46:8f:00:ac]
RSSI: -76 [da:12:46:8f:00:ac]
RSSI: -87 [da:0c:a1:e8:0d:2a]
RSSI: -76 [da:12:46:9d:00:dc]
RSSI: -77 [da:12:46:9d:00:dc]
RSSI: -77 [da:12:46:aa:00:fc]
RSSI: -76 [da:12:46:aa:00:fc]
RSSI: -89 [da:0c:a1:f7:0d:5a]
RSSI: -77 [da:12:46:b7:01:2c]
RSSI: -74 [da:12:46:c5:01:5c]
RSSI: -76 [da:12:46:d2:01:7c]
RSSI: -75 [da:12:46:d2:01:7c]
RSSI: -89 [da:0c:a2:23:0d:da]
RSSI: -75 [da:12:46:d2:01:7c]
RSSI: -78 [da:12:46:df:01:ac]
RSSI: -79 [da:12:46:df:01:ac]
RSSI: -77 [da:12:46:df:01:ac]
RSSI: -88 [da:0c:a2:2f:0d:fa]
RSSI: -76 [da:12:46:ed:01:cc]
RSSI: -77 [da:12:46:ed:01:cc]
RSSI: -83 [da:12:46:ed:01:cc]
RSSI: -80 [da:12:46:fb:01:fc]
RSSI: -88 [da:0c:a2:4e:0e:4a]
RSSI: -83 [da:12:47:07:02:2c]
RSSI: -78 [da:12:47:07:02:2c]
RSSI: -76 [da:12:47:15:02:4c]
RSSI: -82 [da:12:47:15:02:4c]
RSSI: -79 [da:12:47:23:02:7c]
RSSI: -78 [da:12:47:23:02:7c]
RSSI: -90 [da:0c:a2:79:0e:ca]
RSSI: -82 [da:12:47:2f:02:ac]
RSSI: -81 [da:12:47:2f:02:ac]
RSSI: -84 [da:12:47:3d:02:cc]
RSSI: -85 [da:12:47:4b:02:fc]
RSSI: -81 [da:12:47:4b:02:fc]
RSSI: -84 [da:12:47:58:03:2c]
RSSI: -82 [da:12:47:58:03:2c]
RSSI: -85 [da:12:47:65:03:4c]
RSSI: -78 [da:12:47:73:03:7c]
RSSI: -91 [da:0c:a2:c1:0f:9a]
RSSI: -78 [da:12:47:80:03:ac]
RSSI: -88 [da:0c:a2:dd:0f:ea]
RSSI: -81 [da:12:47:8e:03:cc]
RSSI: -86 [da:12:47:9b:03:fc]
RSSI: -82 [da:12:47:a8:04:1c]
RSSI: -81 [da:12:47:a8:04:1c]
RSSI: -88 [da:12:47:b6:04:4c]
RSSI: -79 [da:12:47:b6:04:4c]
RSSI: -78 [da:12:47:c4:04:7c]
RSSI: -81 [da:12:47:c4:04:7c]
RSSI: -78 [da:12:47:d0:04:9c]
RSSI: -79 [da:12:47:d0:04:9c]
RSSI: -80 [da:12:47:d0:04:9c]
RSSI: -81 [da:12:47:de:04:cc]
RSSI: -79 [da:12:47:de:04:cc]
RSSI: -79 [da:12:47:de:04:cc]
RSSI: -84 [da:12:47:ec:04:fc]
RSSI: -86 [da:12:48:14:05:7c]
RSSI: -86 [da:12:48:21:05:9c]
RSSI: -86 [da:12:48:2f:05:cc]
RSSI: -84 [da:12:48:2f:05:cc]
RSSI: -82 [da:12:48:3c:05:fc]
RSSI: -82 [da:12:48:57:06:4c]
RSSI: -78 [da:12:48:57:06:4c]
RSSI: -82 [da:12:48:65:06:7c]
RSSI: -79 [da:12:48:65:06:7c]
RSSI: -80 [da:12:48:71:06:9c]
RSSI: -90 [da:0a:bf:da:14:eb]
RSSI: -76 [da:12:48:7f:06:cc]
RSSI: -76 [da:12:48:8d:06:fc]
RSSI: -90 [da:0a:bf:e6:15:0b]
RSSI: -76 [da:12:48:9a:07:1c]
RSSI: -75 [da:12:48:9a:07:1c]
RSSI: -93 [da:0a:c0:00:15:5b]
RSSI: -75 [da:12:48:a8:07:4c]
RSSI: -92 [da:0a:c0:00:15:5b]
RSSI: -76 [da:12:48:a8:07:4c]
RSSI: -90 [da:0c:a4:01:13:1a]
RSSI: -75 [da:12:48:b5:07:7c]
RSSI: -75 [da:12:48:b5:07:7c]
RSSI: -77 [da:12:48:c2:07:9c]
RSSI: -91 [da:0c:a4:0e:13:4a]
RSSI: -76 [da:12:48:c2:07:9c]
RSSI: -90 [da:0a:c0:26:15:cb]
RSSI: -79 [da:12:48:d0:07:cc]
RSSI: -79 [da:12:48:de:07:fc]
RSSI: -74 [da:12:48:de:07:fc]
RSSI: -90 [da:0a:c0:40:16:1b]
RSSI: -86 [da:12:48:ea:08:1c]
RSSI: -80 [da:12:48:ea:08:1c]
RSSI: -89 [da:0a:c0:4d:16:3b]
RSSI: -90 [da:0a:c0:4d:16:3b]
RSSI: -90 [da:0a:c0:59:16:6b]
RSSI: -89 [da:0a:c0:59:16:6b]
RSSI: -79 [da:12:49:13:08:9c]
RSSI: -91 [da:0c:a4:5e:14:2a]
RSSI: -88 [da:0a:c0:73:00:2b]
RSSI: -86 [da:0a:c0:73:00:2b]
RSSI: -87 [da:12:49:21:08:cc]
RSSI: -80 [da:12:49:21:08:cc]
RSSI: -75 [da:12:49:2f:08:fc]
RSSI: -86 [da:12:49:2f:08:fc]
RSSI: -81 [da:12:49:3b:09:2c]
RSSI: -75 [da:12:49:3b:09:2c]
RSSI: -89 [da:0a:c0:9a:00:9b]
RSSI: -81 [da:12:49:49:09:4c]
RSSI: -90 [da:0a:c0:a6:00:bb]
RSSI: -74 [da:12:49:57:09:7c]
RSSI: -89 [da:0a:c0:b3:00:eb]
RSSI: -75 [da:12:49:57:09:7c]
RSSI: -87 [da:0a:c0:cd:01:2b]
RSSI: -71 [da:12:49:72:09:dc]
RSSI: -72 [da:12:49:7f:09:fc]
RSSI: -82 [da:0a:c0:e7:01:7b]
RSSI: -69 [da:12:49:8c:0a:2c]
RSSI: -82 [da:0a:c0:e7:01:7b]
RSSI: -83 [da:0a:c0:f3:01:9b]
RSSI: -82 [da:0a:c0:f3:01:9b]
RSSI: -70 [da:12:49:9a:0a:5c]
RSSI: -71 [da:12:49:a8:0a:7c]
RSSI: -79 [da:0a:c1:0d:01:eb]
RSSI: -71 [da:12:49:b4:0a:ac]
RSSI: -74 [da:12:49:b4:0a:ac]
RSSI: -82 [da:0a:c1:1a:02:0b]
RSSI: -81 [da:0a:c1:1a:02:0b]
RSSI: -71 [da:12:49:c2:0a:dc]
RSSI: -73 [da:12:49:d0:0b:0c]
RSSI: -82 [da:0a:c1:27:02:3b]
RSSI: -72 [da:12:49:d0:0b:0c]
RSSI: -89 [da:0f:ae:38:08:2e]
RSSI: -78 [da:0a:c1:34:02:5b]
RSSI: -73 [da:12:49:dd:0b:2c]
RSSI: -91 [da:0f:ae:48:08:4e]
RSSI: -80 [da:0a:c1:40:02:7b]
RSSI: -81 [da:0a:c1:40:02:7b]
RSSI: -82 [da:0a:c1:4d:02:ab]
RSSI: -75 [da:12:49:f9:0b:8c]
RSSI: -74 [da:12:49:f9:0b:8c]
RSSI: -78 [da:0a:c1:5a:02:cb]
RSSI: -78 [da:0a:c1:5a:02:cb]
RSSI: -77 [da:12:4a:05:0b:ac]
RSSI: -77 [da:12:4a:05:0b:ac]
RSSI: -76 [da:12:4a:05:0b:ac]
RSSI: -73 [da:12:4a:13:0b:dc]
RSSI: -88 [da:0c:a5:64:00:da]
RSSI: -77 [da:12:4a:13:0b:dc]
RSSI: -90 [da:0c:a5:64:00:da]
RSSI: -82 [da:0a:c1:74:03:1b]
RSSI: -75 [da:12:4a:21:0c:0c]
RSSI: -81 [da:0a:c1:81:03:3b]
RSSI: -76 [da:12:4a:2e:0c:2c]
RSSI: -81 [da:0a:c1:8d:03:6b]
RSSI: -74 [da:12:4a:2e:0c:2c]
RSSI: -81 [da:0a:c1:8d:03:6b]
RSSI: -74 [da:12:4a:3c:0c:5c]
RSSI: -83 [da:0a:c1:9a:03:8b]
RSSI: -78 [da:12:4a:3c:0c:5c]
RSSI: -89 [da:0f:ae:ae:09:7e]
RSSI: -75 [da:12:4a:4a:0c:8c]
RSSI: -92 [da:0f:ae:ae:09:7e]
RSSI: -81 [da:0a:c1:a7:03:ab]
RSSI: -78 [da:12:4a:4a:0c:8c]
RSSI: -82 [da:12:4a:56:0c:bc]
RSSI: -84 [da:0a:c1:b4:03:db]
RSSI: -78 [da:12:4a:56:0c:bc]
RSSI: -83 [da:0a:c1:b4:03:db]
RSSI: -89 [da:0f:ae:ce:09:de]
RSSI: -83 [da:0a:c1:ce:04:2b]
RSSI: -81 [da:12:4a:7f:0d:3c]
RSSI: -79 [da:12:4a:8d:0d:5c]
RSSI: -86 [da:12:4a:8d:0d:5c]
RSSI: -91 [da:0f:ae:fa:0a:5e]
RSSI: -89 [da:12:4a:9b:0d:8c]
RSSI: -82 [da:12:4a:9b:0d:8c]
RSSI: -85 [da:12:4a:a7:0d:bc]
RSSI: -79 [da:12:4a:a7:0d:bc]
RSSI: -86 [da:0f:af:17:0a:ae]
RSSI: -81 [da:12:4a:b5:0d:ec]
RSSI: -86 [da:0f:af:27:0a:ce]
RSSI: -78 [da:12:4a:c3:0e:0c]
RSSI: -85 [da:0f:af:34:0a:fe]
RSSI: -83 [da:12:4a:d0:0e:3c]
RSSI: -80 [da:12:4a:d0:0e:3c]
RSSI: -82 [da:0f:af:44:0b:2e]
RSSI: -81 [da:12:4a:de:0e:6c]
RSSI: -83 [da:0f:af:44:0b:2e]
RSSI: -81 [da:12:4a:de:0e:6c]
RSSI: -87 [da:0f:af:54:0b:4e]
RSSI: -81 [da:0f:af:54:0b:4e]
RSSI: -78 [da:12:4a:ec:0e:8c]
RSSI: -82 [da:0f:af:60:0b:7e]
RSSI: -85 [da:0f:af:60:0b:7e]
RSSI: -76 [da:12:4a:f9:0e:bc]
RSSI: -84 [da:0f:af:60:0b:7e]
RSSI: -80 [da:12:4b:21:0f:3c]
RSSI: -80 [da:0f:af:8d:0b:fe]
RSSI: -76 [da:12:4b:21:0f:3c]
RSSI: -76 [da:12:4b:2f:0f:6c]
RSSI: -82 [da:0f:af:9d:0c:1e]
RSSI: -79 [da:12:4b:2f:0f:6c]
RSSI: -81 [da:0f:af:9d:0c:1e]
RSSI: -80 [da:0f:af:9d:0c:1e]
RSSI: -76 [da:12:4b:3d:0f:8c]
RSSI: -74 [da:12:4b:3d:0f:8c]
RSSI: -80 [da:0f:af:ad:0c:4e]
RSSI: -75 [da:12:4b:4a:0f:bc]
RSSI: -79 [da:0f:af:b9:0c:7e]
RSSI: -80 [da:0f:af:b9:0c:7e]
RSSI: -89 [da:0c:a6:a3:04:5a]
RSSI: -75 [da:12:4b:58:0f:ec]
RSSI: -80 [da:0f:af:ca:0c:ae]
RSSI: -74 [da:12:4b:66:10:0c]
RSSI: -80 [da:0f:af:ca:0c:ae]
RSSI: -89 [da:0c:a6:b3:04:7a]
RSSI: -75 [da:12:4b:66:10:0c]
RSSI: -80 [da:0f:af:d9:0c:de]
RSSI: -81 [da:0f:af:e6:0c:fe]
RSSI: -79 [da:12:4b:80:10:6c]
RSSI: -81 [da:0f:af:e6:0c:fe]
RSSI: -81 [da:12:4b:80:10:6c]
RSSI: -82 [da:12:4b:8e:10:9c]
RSSI: -76 [da:12:4b:9b:10:bc]
RSSI: -81 [da:0f:b0:06:0d:5e]
RSSI: -75 [da:12:4b:9b:10:bc]
RSSI: -94 [da:0a:c2:f6:07:8b]
RSSI: -84 [da:0c:a6:ee:05:2a]
RSSI: -83 [da:0c:a6:fb:05:4a]
RSSI: -69 [da:12:4b:a9:10:ec]
RSSI: -69 [da:12:4b:b7:11:1c]
RSSI: -71 [da:12:4b:b7:11:1c]
RSSI: -88 [da:0f:b0:23:0d:ae]
RSSI: -67 [da:12:4b:c4:11:3c]
RSSI: -85 [da:0f:b0:33:0d:de]
RSSI: -65 [da:12:4b:c4:11:3c]
RSSI: -83 [da:0c:a7:1a:05:aa]
RSSI: -82 [da:0c:a7:1a:05:aa]
RSSI: -64 [da:12:4b:d2:11:6c]
RSSI: -89 [da:0f:b0:3f:0d:fe]
RSSI: -64 [da:12:4b:e0:11:9c]
RSSI: -93 [da:0f:b0:4f:0e:2e]
RSSI: -61 [da:12:4b:ec:11:bc]
RSSI: -90 [da:0a:c3:50:08:8b]
RSSI: -62 [da:12:4b:fa:11:ec]
RSSI: -76 [da:0c:a7:46:06:1a]
RSSI: -61 [da:12:4b:fa:11:ec]
RSSI: -61 [da:12:4c:08:12:1c]
RSSI: -76 [da:0c:a7:53:06:4a]
RSSI: -62 [da:12:4c:08:12:1c]
RSSI: -89 [da:0a:c3:6a:08:db]
RSSI: -60 [da:12:4c:15:12:4c]
RSSI: -90 [da:0a:c3:77:08:fb]
RSSI: -61 [da:12:4c:15:12:4c]
RSSI: -74 [da:0c:a7:72:06:9a]
RSSI: -61 [da:12:4c:23:12:6c]
RSSI: -75 [da:0c:a7:72:06:9a]
RSSI: -76 [da:0c:a7:72:06:9a]
RSSI: -61 [da:12:4c:31:12:9c]
RSSI: -61 [da:12:4c:3e:12:cc]
RSSI: -75 [da:0c:a7:8e:06:ea]
RSSI: -74 [da:0c:a7:8e:06:ea]
RSSI: -75 [da:0c:a7:9e:07:1a]
RSSI: -61 [da:12:4c:4c:12:fc]
RSSI: -76 [da:0c:a7:9e:07:1a]
RSSI: -63 [da:12:4c:5a:13:1c]
RSSI: -74 [da:0c:a7:ab:07:3a]
RSSI: -75 [da:0c:a7:ab:07:3a]
RSSI: -62 [da:12:4c:66:13:4c]
RSSI: -64 [da:12:4c:66:13:4c]
RSSI: -75 [da:0c:a7:ba:07:6a]
RSSI: -63 [da:12:4c:74:13:7c]
RSSI: -76 [da:0c:a7:ba:07:6a]
RSSI: -75 [da:0c:a7:ca:07:9a]
RSSI: -66 [da:12:4c:82:13:9c]
RSSI: -66 [da:12:4c:82:13:9c]
RSSI: -76 [da:0c:a7:d7:07:ba]
RSSI: -87 [da:0a:c3:eb:0a:5b]
RSSI: -77 [da:0c:a7:d7:07:ba]
RSSI: -70 [da:12:4c:8f:13:cc]
RSSI: -88 [da:0a:c3:f8:0a:7b]
RSSI: -70 [da:12:4c:8f:13:cc]
RSSI: -78 [da:0c:a7:f6:08:0a]
RSSI: -76 [da:12:4c:a2:14:0c]
RSSI: -79 [da:0c:a7:f6:08:0a]
RSSI: -88 [da:0a:c4:05:0a:ab]
RSSI: -91 [da:12:4c:b3:14:3c]
RSSI: -90 [da:0a:c4:12:0a:cb]
RSSI: -81 [da:0c:a8:03:08:3a]
RSSI: -88 [da:0a:c4:12:0a:cb]
RSSI: -80 [da:0c:a8:03:08:3a]
RSSI: -79 [da:12:4c:bf:14:5c]
RSSI: -89 [da:0a:c4:2c:0b:1b]
RSSI: -76 [da:12:4c:cd:14:8c]
RSSI: -84 [da:0c:a8:22:08:8a]
RSSI: -73 [da:12:4c:cd:14:8c]
RSSI: -70 [da:12:4c:db:14:bc]
RSSI: -88 [da:0a:c4:39:0b:3b]
RSSI: -73 [da:12:4c:db:14:bc]
RSSI: -70 [da:12:4c:e8:14:dc]
RSSI: -69 [da:12:4c:e8:14:dc]
RSSI: -87 [da:0a:c4:45:0b:6b]
RSSI: -71 [da:12:4c:f6:15:0c]
RSSI: -88 [da:0c:a8:4e:09:0a]
RSSI: -87 [da:0a:c4:5f:0b:bb]
RSSI: -90 [da:0a:c4:5f:0b:bb]
