 -81 [da:09:af:f3:0f:7c]
RSSI: -82 [da:50:e9:b5:06:4a]
RSSI: -82 [da:50:e9:b5:06:4a]
RSSI: -94 [da:09:b5:76:09:ec]
RSSI: -81 [da:50:e9:c1:06:6a]
RSSI: -88 [da:09:b5:82:0a:1c]
RSSI: -81 [da:50:e9:c1:06:6a]
RSSI: -90 [da:09:b5:82:0a:1c]
RSSI: -80 [da:50:e9:d0:06:9a]
RSSI: -80 [da:50:e9:d0:06:9a]
RSSI: -89 [da:09:b5:91:0a:4c]
RSSI: -81 [da:50:e9:df:06:ca]
RSSI: -81 [da:50:e9:df:06:ca]
RSSI: -78 [da:09:b5:9f:0a:7c]
RSSI: -78 [da:09:b5:9f:0a:7c]
RSSI: -81 [da:50:e9:ec:06:ea]
RSSI: -81 [da:50:e9:ec:06:ea]
RSSI: -84 [da:09:b5:ac:0a:9c]
RSSI: -82 [da:50:e9:fb:07:1a]
RSSI: -80 [da:09:b5:ba:0a:cc]
RSSI: -82 [da:50:ea:09:07:3a]
RSSI: -78 [da:09:b5:ba:0a:cc]
RSSI: -80 [da:50:ea:09:07:3a]
RSSI: -77 [da:09:b5:c9:0a:fc]
RSSI: -78 [da:09:b5:c9:0a:fc]
RSSI: -82 [da:50:ea:16:07:5a]
RSSI: -74 [da:09:b5:d5:0b:1c]
RSSI: -76 [da:09:b5:d5:0b:1c]
RSSI: -76 [da:09:b5:e4:0b:4c]
RSSI: -82 [da:50:ea:25:07:8a]
RSSI: -74 [da:09:b5:e4:0b:4c]
RSSI: -81 [da:50:ea:34:07:ba]
RSSI: -76 [da:09:b5:f2:0b:7c]
RSSI: -83 [da:50:ea:40:07:da]
RSSI: -83 [da:50:ea:40:07:da]
RSSI: -75 [da:09:b5:ff:0b:9c]
RSSI: -84 [da:50:ea:4f:07:fa]
RSSI: -85 [da:50:ea:4f:07:fa]
RSSI: -73 [da:09:b6:0d:0b:cc]
RSSI: -85 [da:50:ea:5e:08:2a]
RSSI: -76 [da:09:b6:1b:0b:fc]
RSSI: -86 [da:50:ea:5e:08:2a]
RSSI: -73 [da:09:b6:1b:0b:fc]
RSSI: -88 [da:50:ea:6b:08:4a]
RSSI: -76 [da:09:b6:28:0c:1c]
RSSI: -76 [da:09:b6:28:0c:1c]
RSSI: -91 [da:50:ea:7a:08:7a]
RSSI: -73 [da:09:b6:37:0c:4c]
RSSI: -77 [da:09:b6:37:0c:4c]
RSSI: -91 [da:50:ea:88:08:aa]
RSSI: -77 [da:09:b6:45:0c:7c]
RSSI: -93 [da:50:ea:88:08:aa]
RSSI: -74 [da:09:b6:45:0c:7c]
RSSI: -90 [da:50:ea:95:08:ca]
RSSI: -80 [da:09:b6:52:0c:9c]
RSSI: -77 [da:09:b6:60:0c:cc]
RSSI: -90 [da:50:ea:a4:08:ea]
RSSI: -77 [da:09:b6:60:0c:cc]
RSSI: -92 [da:50:ea:b3:09:1a]
RSSI: -78 [da:09:b6:6e:0c:fc]
RSSI: -92 [da:50:ea:b3:09:1a]
RSSI: -92 [da:50:ea:bf:09:3a]
RSSI: -80 [da:09:b6:7b:0d:1c]
RSSI: -91 [da:50:ea:bf:09:3a]
RSSI: -82 [da:09:b6:7b:0d:1c]
RSSI: -80 [da:09:b6:89:0d:4c]
RSSI: -92 [da:50:ea:ce:09:6a]
RSSI: -80 [da:09:b6:89:0d:4c]
RSSI: -92 [da:50:ea:dd:09:9a]
RSSI: -85 [da:09:b6:98:0d:7c]
RSSI: -91 [da:50:ea:dd:09:9a]
RSSI: -89:de:35:16:5c]
RSSI: -59 [da:09:de:42:16:7c]
RSSI: -61 [da:09:de:4f:00:2c]
RSSI: -59 [da:09:de:4f:00:2c]
RSSI: -56 [da:09:de:5c:00:4c]
RSSI: -61 [da:09:de:5c:00:4c]
RSSI: -59 [da:09:de:68:00:7c]
RSSI: -61 [da:09:de:75:00:9c]
RSSI: -59 [da:09:de:75:00:9c]
RSSI: -57 [da:09:de:82:00:bc]
RSSI: -62 [da:09:de:82:00:bc]
RSSI: -59 [da:09:de:8f:00:ec]
RSSI: -59 [da:09:de:a8:01:3c]
RSSI: -64 [da:09:de:a8:01:3c]
RSSI: -62 [da:09:de:b5:01:5c]
RSSI: -66 [da:09:de:c2:01:8c]
RSSI: -87 [da:4f:2e:f0:01:cb]
RSSI: -65 [da:09:de:c2:01:8c]
RSSI: -88 [da:4f:2e:fe:01:fb]
RSSI: -64 [da:09:de:cf:01:ac]
RSSI: -69 [da:09:de:cf:01:ac]
RSSI: -87 [da:4f:2f:0b:02:1b]
RSSI: -68 [da:09:de:dc:01:cc]
RSSI: -75 [da:09:de:e9:01:fc]
RSSI: -85 [da:4f:2f:1a:02:4b]
RSSI: -75 [da:09:de:e9:01:fc]
RSSI: -76 [da:09:de:f5:02:1c]
RSSI: -86 [da:4f:2f:28:02:7b]
RSSI: -84 [da:09:de:f5:02:1c]
RSSI: -91 [da:09:df:02:02:4c]
RSSI: -85 [da:4f:2f:35:02:9b]
RSSI: -86 [da:4f:2f:35:02:9b]
