-70 [da:2f:8d:53:0d:ea]
RSSI: -69 [da:31:b0:b1:0e:3a]
RSSI: -72 [da:31:b0:c1:0e:6a]
RSSI: -69 [da:31:b0:c1:0e:6a]
RSSI: -73 [da:31:b0:ce:0e:9a]
RSSI: -70 [da:31:b0:de:0e:ba]
RSSI: -72 [da:31:b0:de:0e:ba]
RSSI: -69 [da:31:b0:ee:0e:ea]
RSSI: -69 [da:31:b0:ee:0e:ea]
RSSI: -70 [da:31:b0:ee:0e:ea]
RSSI: -69 [da:31:b0:fa:0f:1a]
RSSI: -71 [da:31:b1:0b:0f:4a]
RSSI: -68 [da:31:b1:0b:0f:4a]
RSSI: -70 [da:31:b1:1b:0f:7a]
RSSI: -69 [da:31:b1:1b:0f:7a]
RSSI: -68 [da:31:b1:27:0f:9a]
RSSI: -67 [da:31:b1:37:0f:ca]
RSSI: -68 [da:31:b1:37:0f:ca]
RSSI: -68 [da:31:b1:37:0f:ca]
RSSI: -68 [da:31:b1:48:0f:fa]
RSSI: -67 [da:31:b1:48:0f:fa]
RSSI: -68 [da:31:b1:54:10:1a]
RSSI: -68 [da:31:b1:64:10:4a]
RSSI: -68 [da:31:b1:64:10:4a]
RSSI: -68 [da:31:b1:74:10:6a]
RSSI: -68 [da:31:b1:74:10:6a]
RSSI: -69 [da:31:b1:74:10:6a]
RSSI: -68 [da:31:b1:74:10:6a]
RSSI: -67 [da:31:b1:81:10:9a]
RSSI: -68 [da:31:b1:81:10:9a]
RSSI: -66 [da:31:b1:91:10:ca]
RSSI: -66 [da:31:b1:91:10:ca]
RSSI: -65 [da:31:b1:a1:10:fa]
RSSI: -63 [da:31:b1:a1:10:fa]
RSSI: -63 [da:31:b1:ae:11:1a]
RSSI: -62 [da:31:b1:be:11:4a]
RSSI: -61 [da:31:b1:be:11:4a]
RSSI: -59 [da:31:b1:ce:11:7a]
RSSI: -60 [da:31:b1:ce:11:7a]
RSSI: -58 [da:31:b1:db:11:9a]
RSSI: -59 [da:31:b1:eb:11:ca]
RSSI: -57 [da:31:b1:eb:11:ca]
RSSI: -59 [da:31:b1:fb:11:fa]
RSSI: -59 [da:31:b1:fb:11:fa]
RSSI: -58 [da:31:b2:08:12:1a]
RSSI: -58 [da:31:b2:08:12:1a]
RSSI: -58 [da:31:b2:08:12:1a]
RSSI: -57 [da:31:b2:18:12:4a]
RSSI: -58 [da:31:b2:18:12:4a]
RSSI: -58 [da:31:b2:28:12:7a]
RSSI: -57 [da:31:b2:28:12:7a]
RSSI: -58 [da:31:b2:35:12:9a]
RSSI: -57 [da:31:b2:45:12:ca]
RSSI: -58 [da:31:b2:45:12:ca]
RSSI: -94 [da:37:55:89:03:bc]
RSSI: -58 [da:31:b2:55:12:fa]
RSSI: -57 [da:31:b2:55:12:fa]
RSSI: -59 [da:31:b2:62:13:1a]
RSSI: -59 [da:31:b2:72:13:4a]
RSSI: -60 [da:31:b2:72:13:4a]
RSSI: -93 [da:37:55:b4:04:3c]
RSSI: -93 [da:34:bb:8c:0d:ae]
RSSI: -62 [da:31:b2:82:13:7a]
RSSI: -64 [da:31:b2:98:13:ba]
RSSI: -65 [da:31:b2:98:13:ba]
RSSI: -66 [da:31:b2:a8:13:ea]
RSSI: -70 [da:31:b2:b8:14:1a]
